respondent_id,age_group,gender,race,education,income,policy_support
1,30-44,Male,White,Some College/Associates,100-150k,0
2,65+,Male,Hispanic,High School or Less,60-100k,0
3,45-64,Female,Hispanic,Bachelor,<30k,1
4,45-64,Male,White,Some College/Associates,>150k,1
5,18-29,Male,White,High School or Less,60-100k,1
6,18-29,Female,White,Graduate,30-60k,0
7,18-29,Male,White,Some College/Associates,100-150k,0
8,65+,Female,White,High School or Less,30-60k,0
9,45-64,Male,Black,Some College/Associates,60-100k,0
10,45-64,Female,White,High School or Less,<30k,0
11,18-29,Male,White,Bachelor,100-150k,0
12,65+,Male,White,Bachelor,30-60k,0
13,65+,Female,Black,Graduate,60-100k,1
14,18-29,Male,White,Some College/Associates,30-60k,1
15,18-29,Female,Black,Some College/Associates,60-100k,0
16,18-29,Male,White,Bachelor,100-150k,0
17,30-44,Male,Hispanic,High School or Less,60-100k,1
18,45-64,Female,Hispanic,Some College/Associates,60-100k,0
19,30-44,Male,White,Some College/Associates,60-100k,0
20,30-44,Female,White,High School or Less,>150k,1
21,45-64,Female,White,Some College/Associates,60-100k,1
22,18-29,Female,White,Bachelor,100-150k,1
23,30-44,Female,Black,Bachelor,100-150k,0
24,30-44,Male,Hispanic,High School or Less,30-60k,0
25,30-44,Male,Black,High School or Less,30-60k,1
26,45-64,Male,Hispanic,High School or Less,30-60k,1
27,18-29,Female,White,Bachelor,100-150k,0
28,45-64,Other,White,High School or Less,30-60k,1
29,45-64,Male,Hispanic,Bachelor,60-100k,1
30,18-29,Female,White,High School or Less,100-150k,0
31,45-64,Male,Black,Some College/Associates,30-60k,1
32,18-29,Female,White,High School or Less,60-100k,1
33,18-29,Male,White,Bachelor,30-60k,0
34,65+,Female,Other,High School or Less,<30k,0
35,65+,Female,White,Some College/Associates,100-150k,0
36,65+,Male,Other,High School or Less,<30k,0
37,30-44,Male,Other,Bachelor,30-60k,1
38,18-29,Male,Hispanic,Bachelor,100-150k,1
39,45-64,Male,Black,High School or Less,30-60k,1
40,30-44,Male,White,Bachelor,>150k,0
41,18-29,Female,Hispanic,Some College/Associates,>150k,0
42,30-44,Female,White,High School or Less,30-60k,0
43,18-29,Female,White,Some College/Associates,<30k,0
44,65+,Male,Black,High School or Less,100-150k,0
45,30-44,Female,White,Bachelor,60-100k,1
46,45-64,Female,White,Bachelor,<30k,1
47,30-44,Male,White,High School or Less,100-150k,1
48,45-64,Female,White,Some College/Associates,<30k,1
49,45-64,Female,Hispanic,Bachelor,100-150k,1
50,18-29,Male,White,Graduate,<30k,0
51,65+,Male,Asian,Some College/Associates,<30k,0
52,45-64,Female,Black,Graduate,<30k,1
53,65+,Male,Hispanic,Some College/Associates,>150k,1
54,65+,Female,White,High School or Less,60-100k,0
55,45-64,Female,Hispanic,Bachelor,100-150k,1
56,65+,Female,White,Some College/Associates,30-60k,1
57,18-29,Male,Hispanic,Some College/Associates,30-60k,0
58,18-29,Male,White,Some College/Associates,30-60k,0
59,18-29,Female,Hispanic,Bachelor,60-100k,0
60,30-44,Female,Other,Bachelor,60-100k,0
61,30-44,Male,White,Some College/Associates,60-100k,0
62,30-44,Female,White,High School or Less,30-60k,0
63,65+,Female,Hispanic,Some College/Associates,>150k,1
